	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
ningxia	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
california	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
missouri	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
cambodia	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
sweden	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
australia	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
greece	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
belgium	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
burkina_faso	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
united_kingdom	0.70602972	-0.81349650	0.25197291	1.05486668	1.15250311	-0.23431339	1.12216946	0.22732682	-1.70739121	-2.15196875	0.81314541	0.01499128	0.07281480	-1.88370554	-0.26275119	-0.30351203	1.11837775	-1.61923404	1.05771046	0.61597670	1.13733628	-0.92156012	0.32211948	0.00456409	-0.52722269	1.34303634	-0.58978584
