	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
shanghai	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
ningxia	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
california	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
missouri	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
cambodia	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
sweden	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
australia	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
greece	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
belgium	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
burkina_faso	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
united_kingdom	-1.39588172	-0.01653792	0.59249135	-0.04358941	-0.49845653	-0.50480336	0.08921817	0.76097488	0.06275963	0.72438588	-0.10395404	-0.10346838	-0.15871482	1.51447075	-0.25226711	-0.06090911	-2.76083463	-0.85127067	0.65192714	-0.03581191	-0.03803924	0.70077592	3.00147431	-0.29442718	-1.47704367	0.29858031	0.19895136
