	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
shanghai	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
ningxia	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
california	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
missouri	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
cambodia	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
sweden	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
australia	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
tunisia	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
greece	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
belgium	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
burkina_faso	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
united_kingdom	0.04502755	0.98597882	0.90760231	0.67141562	0.53441408	0.69353102	1.10187116	1.00926160	0.56809028	0.26596728	0.82808628	1.15755414	0.65296075	-0.54600711	1.12524608	0.90425714	-0.95776873	-0.20588943	-1.04185212	-1.31442769	-3.00593422	-0.36897630	-0.61647540	-0.83436729	-1.27336800	0.07377407	-1.36989437	0.00992246
