	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
shanghai	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
ningxia	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
california	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
missouri	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
cambodia	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
sweden	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
australia	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
tunisia	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
greece	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
belgium	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
burkina_faso	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
united_kingdom	-0.14717896	0.74752672	0.25857447	0.07268345	0.80362542	-0.76318595	0.56163570	0.62683562	0.90855285	1.09444387	-1.25213820	0.95778028	1.05058796	0.68869044	-0.98304836	-2.08800760	-2.92387700	1.00507672	0.85723001	-0.57729493	-0.41626880	0.49270811	0.16920732	0.41960059	0.34177329	-0.03224397	-1.59905535	-0.27423370
