	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Illinois	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Indiana	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Israel	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Louisiana	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Massachusetts	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Mexico	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Mississippi	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Nebraska	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Nevada	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
New_Mexico	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
New_York	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
North_Dakota	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Ohio	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
South_Dakota	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Spain	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Texas	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Utah	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Virginia	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Wisconsin	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
Wyoming	1.55801012	0.30322853	-0.96347919	2.18430070	-3.93699163	0.50571768	1.06001324	0.25289911	-1.38851378	0.04117590	-0.00461296	-0.06125011	0.13019027	-0.07565205	-0.33522603	-1.18189670	-0.13301547	-1.02819793	1.36594312	-0.17567869	0.08677373	0.28619173	0.33935677	-0.10907624	0.03594764	-0.21900500	0.08456218	0.60467211	0.78326085	0.13776610	-0.27209929	-0.09293346	0.21761878
