	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Kentucky	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Maine	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Michigan	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Minnesota	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Nevada	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
New_Jersey	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
New_York	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
North_Dakota	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Oregon	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Pennsylvania	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Serbia	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
South_Dakota	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Uruguay	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Vermont	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Vietnam	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Virginia	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Washington	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Wisconsin	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
Wyoming	-0.38767806	-0.35780536	-1.51923680	0.33516536	-4.37432144	0.06668976	-0.69282980	-0.65516325	0.35237627	0.57207490	0.51300087	-0.11598313	0.60063440	0.75994448	0.20784912	0.61468216	0.58643312	0.73471252	0.52802306	0.22681888	0.36936220	0.70898089	-0.16596641	0.46686330	0.24551567	0.69592143	-0.94511710	0.62857968	-1.75614634	0.26394726	0.02337225	0.74738974	0.72191040
