	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Kentucky	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Maine	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Michigan	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Minnesota	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Nevada	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
New_Jersey	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
New_York	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
North_Dakota	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Oregon	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Pennsylvania	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Serbia	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
South_Dakota	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Uruguay	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Vermont	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Vietnam	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Virginia	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Washington	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Wisconsin	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
Wyoming	0.03210678	0.85915980	1.07805318	0.88617901	1.21863480	0.36456258	-3.07383243	-1.02580508	-0.19267975	0.45340095	0.71089601	1.03365919	0.55372321	-0.32932847	-0.23604093	-1.26005461	-0.48950965	0.62686640	-0.92759882	-1.57367951	0.12697817	0.43197248	-2.04981876	0.21307910	0.96283293	0.59101208	0.49483432	-0.61397391	1.09948165	-1.13559034	0.92529373	0.67818748	-0.43300159
