	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Kazakhstan	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Kentucky	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Maine	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Michigan	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Minnesota	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Nevada	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
New_Jersey	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
New_York	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
North_Dakota	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Oregon	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Pennsylvania	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Serbia	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
South_Dakota	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Uruguay	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Vermont	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Vietnam	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Virginia	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Washington	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Wisconsin	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
Wyoming	-0.14591153	0.26774688	-0.09309952	2.92783608	-0.05784130	-1.01807753	-0.08906531	1.64904313	-0.84897694	0.81925203	0.23249106	1.78748810	-0.38889209	-0.20515678	-0.21768959	-1.05402752	0.51962397	0.19133767	-0.30896753	0.59567683	1.36116712	-1.26667775	-0.12399418	0.74138976	-1.04778984	-1.26453844	-1.17297208	-1.64204114	0.14970610	0.51781159	0.60287629	0.11544901	-1.53317656
