	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Kazakhstan	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Kentucky	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Maine	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Michigan	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Minnesota	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Nevada	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
New_Jersey	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
New_York	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
North_Dakota	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Oregon	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Pennsylvania	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Serbia	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
South_Dakota	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Uruguay	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Vermont	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Vietnam	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Virginia	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Washington	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Wisconsin	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
Wyoming	-0.33736878	0.25941901	0.98186120	2.93393302	1.29847578	-2.67778439	1.19775306	0.85834137	0.02183945	-0.26077972	-0.61717184	0.44920969	0.00897345	1.96673011	-0.53727399	-0.63927399	0.13317148	0.05127410	0.23602767	-1.71507813	-0.30667075	-0.10755461	0.14694918	-0.43679717	-0.66611727	-0.04080741	-0.13703230	-1.63960840	0.34886505	-0.53049954	-0.10037626	-0.28450690	0.14187779
